archetype_id,variation_id,winrate,popularity
548,2257059251,53.6,0.0022
182,2252085316,55.6,0.0021
183,2252980944,52.5,0.0031
563,2257114943,70.6,0.0027
162,2256386083,64.8,0.0042
396,2204536758,71.4,0.0022
430,2254269710,69.2,0.0030
150,2256918485,51.5,0.0026
182,2214487427,62.2,0.0035
182,2215205521,62.2,0.0029
338,2252153397,51,0.0040
31,2255732703,68.8,0.0025
563,2253913890,70.4,0.0021
56,2249853242,60,0.0027
563,2244840171,69.2,0.0030
56,2246254060,38.5,0.0020
512,2251427232,39.3,0.0022
56,2249100765,46.9,0.0038
555,2252083269,48.1,0.0021
546,2252668841,66.7,0.0021
563,2245372727,72,0.0019
555,2242944213,46.4,0.0022
162,2250786039,65.5,0.0023
170,2224957904,46.7,0.0023
563,2254679592,51.2,0.0032
555,2246687208,69.2,0.0030
338,2245951799,67.9,0.0022
555,2253941336,51.5,0.0026
563,2253624576,40,0.0019
182,2255443956,57.1,0.0044
396,2254194269,38.2,0.0027
555,2245788195,40,0.0019
36,2255698172,50,0.0023
36,2255536907,58.1,0.0034
555,2256195982,68,0.0019
563,2253876778,51.7,0.0023
548,2249688299,53.5,0.0034
555,2227066442,61.1,0.0028
338,2242950038,46.8,0.0037
276,2250926936,51.9,0.0021
538,2242938863,63.9,0.0028
182,2252502830,51.6,0.0024
587,2253971239,88.9,0.0021
430,2254365717,60,0.0019
182,2247593958,69.2,0.0020
546,2254784880,67.9,0.0022
555,2255386371,62.5,0.0025
276,2234061087,41.4,0.0023
586,2244612817,48,0.0019
563,2253776168,56,0.0019
390,2251836385,36.4,0.0026
555,2242962518,52.6,0.2268
170,2246865552,48.4,0.0050
441,2150764494,64,0.0019
574,2206084237,55.3,0.1547
574,2208225694,56.7,0.1101
338,2248211229,55.4,0.0065
338,2251645969,58.1,2.9197
56,2242949852,53.9,0.0269
563,2248311285,57.9,0.9188
563,2253581026,59.2,0.5079
563,2253659942,42.9,0.0049
563,2253791930,44.9,0.0038
276,2237307858,51.6,0.0596
202,2242937311,45.3,0.0225
538,2199190575,54.4,0.0466
586,2246103096,55.4,0.0087
396,2164216524,57.1,0.0104
587,2253940111,72.7,0.0026
182,2238766608,53.8,0.0041
574,2253601886,55.3,0.0295
563,2233304414,52.4,0.0557
276,2233078625,52.1,0.0890
276,2243368260,33.3,0.0023
161,2198796200,54.2,0.0129
555,2198767539,47.5,0.0398
555,2235997924,52,0.0019
587,2244143523,58.2,0.0425
555,2245608109,46.8,0.0037
512,2236286182,54.3,0.1038
182,2253961305,63.3,0.0023
563,2253150470,75.9,0.0023
276,2246753742,64.3,0.0044
586,2243315496,46,0.0039
430,2247405700,54.6,0.0878
555,2241782418,72.4,0.0023
556,2243469272,61.3,0.0093
512,2199984738,65.5,0.0043
182,2220415560,66,0.0073
77,2238007916,60.5,0.0126
182,2244763321,70,0.0023
563,2212422434,55.7,0.0062
571,2252957591,58.5,0.0032
585,2252207699,38,0.0084
586,2253980595,37.1,0.0027
556,2242938250,63.1,0.0110
512,2248482538,56,0.0019
182,2200731314,50.7,0.0163
141,2253335184,61.4,0.0034
571,2253283018,63,0.0084
563,2253830542,57.1,0.0038
563,2254086090,61.5,0.0030
199,2236906941,50.7,0.0280
586,2243889944,50,0.0020
162,2243041541,52.9,0.0053
587,2247705626,67.7,0.0024
587,2248560198,72.1,0.0053
587,2252667017,67.7,0.0024
555,2253509273,48.5,0.0026
150,2254168428,57.1,0.0098
182,2220529695,56.8,0.0029
571,2253742231,46.2,0.0030
276,2236661519,61.4,0.0044
276,2246887055,58.2,0.0043
276,2254200648,50,0.0031
548,2241955273,59.3,0.0021
2,2243034966,38.5,0.0030
555,2253245571,50.8,0.0051
390,2248967388,53.8,0.0020
338,2244475703,57.1,0.0055
31,2247081939,56.3,0.0211
338,2251242085,55.9,0.0027
276,2209297243,59.3,0.0021
199,2243749557,49.3,0.0052
569,2238443964,54.2,0.0075
555,2254320811,48.2,0.0086
249,2243101036,52.1,0.0055
338,2252271703,55,0.0047
338,2252366119,57.1,0.0033
198,2254352324,35.7,0.0022
150,2251347799,56,0.0058
36,2252989818,64,0.0019
555,2247973015,64.1,0.0030
555,2252608772,70.4,0.0021
512,2206506369,59,0.0147
563,2248267393,59.1,0.0034
56,2252821742,51.7,0.0023
586,2243448331,56.6,0.0176
586,2249118866,49.2,0.0048
555,2250127269,52.7,0.0043
512,2247759447,43.3,0.0023
150,2250753432,51.9,0.0021
150,2251698900,68.1,0.0037
182,2242688391,43.8,0.0025
441,2243552752,40.7,0.0021
56,2251806387,55.5,0.0100
199,2254067042,53.8,0.0020
162,2243763376,62.2,0.0029
555,2253172281,44.1,0.0027
555,2254560185,40.2,0.0068
555,2254579254,48.3,0.0023
555,2254657060,53.7,0.0042
512,2248879410,14.4,0.0130
512,2254295417,61.9,0.0033
77,2022403778,53.1,0.0050
182,2203234851,66.7,0.0023
276,2254561675,74.5,0.0037
430,2254628461,51.4,0.0055
556,2252487216,54.5,0.0034
587,2253220203,46.2,0.0020
555,2254142828,64.7,0.0027
561,2254679442,71.4,0.0033
338,2254701657,58.6,0.0023
563,2243133831,51.4,0.0058
585,2243160598,78.1,0.0025
198,2254047130,35.7,0.0022
548,2141613075,77.8,0.0021
430,2242314926,52.9,0.0040
587,2246741335,55.1,0.0069
512,2254607005,44,0.0019
36,2253314547,53.8,0.0020
276,2211159792,70.6,0.0027
276,2233503206,66.7,0.0035
199,2252521925,52.9,0.0053
556,2251752094,55.6,0.0042
556,2254899034,48,0.0019
556,2254911576,56.3,0.0050
338,2252015500,54.3,0.0055
555,2254028998,59.2,0.0055
338,2254401926,63.2,0.0044
563,2251709055,48.7,0.0030
198,2250332902,51.6,0.0073
557,2211940906,70.3,0.0029
557,2212154359,56.3,0.0037
587,2254868754,49.1,0.0041
556,2255013809,59.9,0.2447
170,2254730539,46.4,0.0022
441,2245886361,47.6,0.0033
574,2254669059,51.4,0.0109
36,2254916994,64.3,0.0022
556,2255021012,58.4,0.0060
150,2254981584,41.2,0.0027
182,2208244119,66.7,0.0026
182,2226730927,66.9,0.0097
338,2252050548,68.2,0.0051
571,2255038773,32.4,0.0029
555,2250796090,54.8,0.0033
556,2254728428,59.1,0.0034
512,2253716313,79.3,0.0023
170,2254592988,73.1,0.0020
583,2255126665,80,0.0023
561,2204884291,50,0.0022
202,2255087892,48.5,0.0154
546,2243112886,52.3,0.0069
162,2252791042,25.9,0.0021
556,2255252928,64.6,0.0064
583,2254773370,53.6,0.0097
441,2200772885,58.2,0.0086
338,2242980728,55.6,0.0035
563,2253321945,72,0.0019
563,2255018425,42.9,0.0027
202,2243266857,43.8,0.0037
555,2251630729,62.5,0.0037
541,2211536835,43.9,0.0064
182,2253361829,53.6,0.0022
586,2252018743,38.7,0.0024
587,2250974661,63.9,0.0028
150,2251915549,55.6,0.0028
512,2255447436,33.3,0.0030
574,2206711781,65.5,0.0043
574,2216264476,46,0.0068
338,2252319498,52.2,0.0036
571,2230457747,38.2,0.0027
36,2255419564,60,0.0027
276,2100988077,64.1,0.0030
276,2233890088,40.6,0.0025
563,2255561442,73.8,0.0033
276,2255451781,59.4,0.0025
202,2242937794,61.7,0.0037
586,2254754675,61.5,0.0051
555,2250291256,54.5,0.0051
556,2254583458,26.7,0.0023
546,2244265117,60,0.0019
548,2255146249,50,0.0030
563,2253537578,37.5,0.0037
571,2254582297,64.7,0.0027
563,2254962038,58.8,0.0027
586,2243559386,50,0.0028
555,2251591370,73.3,0.0023
211,2255696242,75,0.0022
36,2255765909,41.7,0.0028
430,2246597211,60.8,0.0040
396,2255080277,44,0.0097
555,2251768335,65.7,0.0027
512,2133169050,39.3,0.0091
170,2175580413,73.5,0.0038
441,2255851057,65.5,0.0023
338,2255843469,56.3,0.0037
563,2254370936,63,0.0021
563,2255502095,45.5,0.0034
198,2203857245,63.3,0.0038
276,2243755306,47.4,0.0061
538,2255527469,57.7,0.0020
555,2244419534,53.1,0.0038
512,2255947156,55.6,0.0035
563,2255958555,56,0.0019
555,2246651352,46.4,0.0022
555,2256015319,58.1,0.0024
150,2254259846,65.5,0.0023
563,2250056763,54.2,0.0037
563,2253474481,53.8,0.0020
563,2253791339,60,0.0039
276,2255166277,40,0.0023
62,2255720341,53.4,0.0444
555,2252243241,26.5,0.0027
555,2252359034,53.6,0.0022
556,2255381658,60.8,0.0058
170,2255685431,47.5,0.0031
574,2214251606,63.6,0.0069
141,2254590044,56.5,0.0036
557,2255682655,89.3,0.0022
556,2255968229,55.3,0.0037
574,2238876249,66.7,0.0028
276,2234531169,57.7,0.0020
170,2256227311,42.7,0.0058
276,2256318275,59.4,0.0025
512,2251905436,45.7,0.0027
512,2253263106,52.8,0.0028
571,2252711244,45.9,0.0029
563,2256370428,55.6,0.0021
276,2237122399,38.9,0.0042
276,2256456922,57.1,0.0022
36,2252241905,69.2,0.0020
276,2242849368,43.2,0.0034
211,2253581663,57.1,0.0027
571,2251277187,50,0.0045
555,2243128256,55.8,0.0060
587,2246017432,71.9,0.0044
555,2249544705,55.9,0.0046
56,2252104893,50,0.0023
36,2255027331,48,0.0019
276,2251147324,48.1,0.0101
276,2254958838,44.8,0.0045
555,2254817183,51.6,0.0048
587,2254974553,48,0.0019
555,2255025791,59,0.0030
555,2255091586,60.7,0.0022
150,2255061770,35.9,0.0030
441,2244732596,58.8,0.0062
571,2233214083,25.6,0.0070
56,2243523486,45.5,0.0034
56,2254811536,40.6,0.0025
587,2249342803,58.1,0.0034
512,2240969148,37.2,0.0034
170,2254567200,67.7,0.0048
183,2254731648,60.5,0.0059
276,2254888902,39,0.0046
126,2255158130,55.2,0.0023
538,2247410611,45.2,0.0024
587,2254846727,80.4,0.0044
31,2251713394,78.1,0.0025
563,2243682643,52,0.0019
538,2252839768,48,0.0019
563,2252535751,64.1,0.0030
276,2249495581,62.7,0.0046
199,2254734576,51.7,0.0023
441,2246187107,63,0.0021
555,2254851444,50,0.0022
150,2255328836,38.5,0.0030
77,2253420958,66.7,0.0021
563,2247998560,67.2,0.0050
563,2254574161,50,0.0025
183,2172698359,54.4,0.0044
571,2246312011,42.1,0.0030
36,2250096885,48.7,0.0059
56,2255061924,31.8,0.0034
276,2211460592,59.7,0.0052
276,2255495729,34.5,0.0043
202,2255464650,40.2,0.0128
555,2254486453,60.5,0.0030
390,2255499180,62.5,0.0025
563,2244996695,56.7,0.0023
36,2254935347,44.1,0.0027
198,2255566519,50,0.0025
162,2022786022,63,0.0021
569,2253588212,54.8,0.0024
150,2249579645,43.1,0.0040
211,2255388307,52.6,0.0030
583,2255292083,61.1,0.0028
563,2253210328,59.5,0.0033
556,2248831770,75,0.0022
546,2242980022,57.4,0.0042
512,2255856182,51.9,0.0041
512,2255885772,36.4,0.0034
170,2255524900,67.9,0.0022
276,2251744929,51.9,0.0021
558,2233307787,47.3,0.0058
396,2255870282,60,0.0019
276,2254284893,62,0.0039
512,2213975372,54.9,0.0040
563,2253794741,62.1,0.0023
36,2255797293,64,0.0019
563,2255894176,56.9,0.0051
276,2239899305,48,0.0039
555,2255907615,57.1,0.0033
556,2255988211,72,0.0019
556,2256056466,63.7,0.0071
338,2251960470,48.9,0.0037
563,2249190022,62.3,0.0060
557,2255614958,73.1,0.0020
555,2256092530,50,0.0022
555,2255525502,43.3,0.0023
150,2251042792,63.1,0.0087
150,2255288747,37,0.0021
574,2256194483,67.4,0.0034
563,2250952705,57.1,0.0027
202,2211013726,74.2,0.0051
538,2200833631,53.8,0.0071
182,2237777092,58.2,0.0043
538,2210959589,56.7,0.0052
569,2243463267,39.6,0.0037
441,2252948435,61.8,0.0027
586,2243420060,51.5,0.0080
150,2256409782,51.9,0.0021
338,2256109372,64.9,0.0060
154,2256391958,48.1,0.0021
62,2253815787,52,0.0019
512,2256028866,48.1,0.0041
162,2252964976,51.4,0.0027
555,2255521833,53.3,0.0035
512,2255705299,64,0.0019
31,2251594288,50,0.0028
563,2255340397,65.3,0.0038
25,2219043539,51.4,0.0027
126,2256271890,58.7,0.0036
307,2256511343,57.6,0.0026
170,2255825611,48.6,0.0027
574,2256774057,52.8,0.0028
276,2175071933,51.7,0.0023
569,2256755113,65.4,0.0020
276,2251299055,51.6,0.0024
587,2255658335,63.2,0.0030
555,2256887099,54.1,0.0029
574,2255798849,61.5,0.0020
563,2250228559,61.5,0.0020
276,2254987129,84.1,0.0034
586,2246292784,52.7,0.0043
556,2244821265,67.3,0.0081
555,2256982174,51.9,0.0021
150,2256995801,60.7,0.0022
202,2251879420,40,0.0019
276,2238754444,52,0.0039
276,2255406189,51.7,0.0023
161,2164653269,57.1,0.0060
512,2255476233,64.6,0.0037
574,2254804417,72.2,0.0028
586,2245495703,39.4,0.0026
276,2256631685,69.1,0.0043
555,2244607562,36,0.0019
555,2245170738,82.1,0.0022
396,2252028076,77.4,0.0041
555,2256110037,59.5,0.0033
586,2253358408,55.6,0.0021
276,2233891615,64.3,0.0022
555,2252503976,45.9,0.0029
150,2253631439,70.3,0.0029
276,2239947873,61.3,0.0024
276,2241057884,62.5,0.0037
512,2253719587,44,0.0039
555,2252052774,40,0.0019
338,2202378070,73,0.0029
555,2251509033,34.6,0.0020
441,2237146925,47.2,0.0028
62,2253953445,52,0.0019
150,2253543789,65.8,0.0030
170,2252537412,64,0.0019
126,2254312093,64.9,0.0029
276,2237511809,46.4,0.0022
555,2250297689,55.2,0.0023
62,2255073860,71.9,0.0025
150,2251466636,57.1,0.0022
182,2255675148,58.3,0.0037
555,2254899500,57.7,0.0020
182,2223403982,60,0.0035
36,2203507351,57.6,0.0026
276,2255259233,48.6,0.0027
31,2240367615,54.8,0.0024
555,2212001925,42.3,0.0020
557,2242053597,58.6,0.0023
170,2255787597,87.1,0.0024
307,2256358912,51.5,0.0026
555,2252369452,57.1,0.0022
574,2220902638,48,0.0019
555,2246741266,63.3,0.0023
555,2256047265,64.9,0.0029
556,2245237768,57.6,0.0026
170,2257073091,48.6,0.0029
338,2242982856,47.9,0.0037
570,2229638405,56.7,0.0023
555,2248333711,63.3,0.0023
512,2257270751,53.3,0.0023
555,2249733481,66.7,0.0021
556,2252705671,55.2,0.0023
563,2255726308,66.7,0.0021
556,2235481865,73.8,0.0033
587,2246058854,58.8,0.5173
587,2246807016,58.5,0.6725
555,2250143844,51.8,0.0089
512,2198848795,55,0.0031
512,2246516165,51.5,0.1004
150,2249695226,55.1,1.9985
150,2251538182,63.4,0.0055
570,2216408060,55.8,0.0987
182,2199785369,55.9,0.0374
390,2233313883,53.5,0.0146
390,2243280245,46.4,0.0108
25,2244207788,59.5,0.0033
546,2159654227,59.8,0.9691
538,2204459853,52.1,0.0055
546,2242943602,58.9,1.2039
538,2252983925,56.7,0.0076
161,2159717228,57.9,0.1314
396,2083771221,63.3,0.0062
555,2212122451,60,0.0078
31,2198765485,51.3,0.0030
56,2243123423,72.4,0.0023
556,2244019541,70.7,0.0058
587,2247164953,50,0.0028
555,2250304199,59.4,0.0054
541,2253926236,58.1,0.0024
512,2253956615,60.7,0.0022
182,2119117054,57.3,0.0069
