,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cenarius,0.709123,-0.9792589,0.7314233,-0.47665074,0.42968222,0.42896724,0.6089043,0.42263442,-0.26446357,-0.08612285,0.24718541,0.116119996,1.2315185,-0.036298327,0.5002503,-0.20042436
Arcanologist,0.024188582,-0.9400737,0.22350827,0.7613234,0.6297002,0.4837278,-0.072149634,0.2925806,-1.1506832,0.67245996,-0.8561619,-0.85691345,0.08150348,-1.1246996,-0.88468194,-0.5707651
Deliverance,-0.19377263,-0.42064604,0.1638341,0.018557232,0.38176847,-0.21456349,1.2372955,0.91247797,-0.2535381,0.020767171,-0.62176317,-0.72565967,0.14420427,0.5172037,-0.13740024,0.37353104
Herald of Nature,0.49602064,-1.3116336,0.69907516,-1.0123631,0.17643245,0.57761514,0.39838377,0.21976253,0.090120345,-0.09145327,0.8630675,-0.7050356,0.92598146,-0.4676552,0.8660463,0.36752504
Blademaster Okani,-0.3748143,-0.06089924,0.1325185,0.36406824,0.59412825,0.37667945,0.25162548,0.1954004,-0.41006178,0.56728524,0.012541891,-0.27167484,0.5222445,-0.5658177,-0.23129976,0.44348127
Immolate,0.63690865,0.2545008,0.074223414,0.14529184,-0.33237717,0.15534815,1.4499866,0.21811616,-1.0472186,0.04764316,-0.22898579,-0.2730334,-0.12204267,-1.4158074,0.11697948,0.4774404
Impending Catastrophe,0.2975017,0.2574567,0.4265658,-0.15354319,-0.38221726,0.23364736,1.4492235,-0.5922753,-1.4098341,0.12630063,-0.38090786,-0.5604602,0.21358809,-1.4417307,0.14168598,0.76540506
Piercing Shot,0.60200995,-0.9919919,-0.7437447,0.51338285,1.2679214,-0.0417052,0.021572,-0.6387965,-0.50665075,-0.6120971,-0.46233472,-1.1852455,0.98970824,-0.46994573,-0.5662199,0.6135467
Irondeep Trogg,-0.010502437,-0.92581856,-0.40134844,-0.03223852,0.59704125,0.23006664,0.16184233,-0.18769182,-0.11552592,0.71802866,0.82055616,-0.84610254,0.69850177,-0.68637544,0.29364824,0.031958427
Wild Growth,0.54728234,-0.6562417,0.8051531,-0.18997039,0.32518476,0.23702961,0.572426,0.3429107,-0.3763266,-0.26927125,0.0007574433,0.00017594229,1.1208546,-0.22580819,0.2090178,-0.12614343
Faerie Dragon,-0.029577512,-0.17146817,-0.25663328,0.3943353,0.43405634,1.0630251,0.8892371,-0.20374237,0.09000219,0.40367326,-0.4199785,-0.16628979,0.06027429,0.33911067,-0.25171706,-0.41985345
Blood Matriarch Liadrin,-0.19194807,-1.0951236,-0.45352224,-0.14699286,0.49939215,2.6479425,1.3753234,-0.55997646,-0.24028549,-0.88224125,-1.4323096,0.30616966,0.60412073,-0.05432369,-0.19448914,0.513025
Kotori Lightblade,-0.2938559,-1.1422338,-0.5511981,0.015904013,0.58101135,2.9956067,1.5248172,-0.62192124,0.060662538,-0.7760487,-1.2138411,0.1467199,0.56405056,0.08480063,-0.19178694,0.5349403
Flamereaper,1.0353371,-1.2448889,-0.5244011,-1.031318,0.3752117,0.57249695,0.9471411,-0.12297723,0.5317094,0.4546829,-0.38810405,-0.20238356,-0.13323885,-1.0871669,0.8517196,0.3399177
Unstable Shadow Blast,0.799627,0.31905314,-0.054084964,0.36255586,-0.08766614,-0.14593786,1.4366941,0.08626651,-1.4067354,0.016089164,-0.31430402,-0.51659894,0.15271138,-1.2484185,0.37437823,0.5207691
Crossroads Gossiper,0.2741558,-0.84988046,0.20436619,0.7003966,0.56084347,0.8179163,-0.1797805,-0.06091356,-0.9606044,0.7328465,-0.50914043,-1.0354499,0.14783083,-0.6002932,-0.12608866,-0.4283144
Possessifier,-0.50336397,-0.41314697,0.56026113,0.35797808,-0.5410992,0.29781362,1.5433825,-0.17639133,0.49280852,0.8949438,0.31264126,-0.25870353,0.5188951,-0.16568373,0.075689815,0.24384809
Toad of the Wilds,0.4641033,-0.8749609,0.6426793,-0.30600098,-0.028809197,-0.021271115,0.65004015,0.60761094,-0.28672218,-0.30955797,-0.08062884,-0.28410092,0.9304103,0.073794656,0.5736072,0.25311485
Corrupted Ashbringer,0.021560514,0.18844782,0.31442755,0.33239388,0.5585992,0.05413465,1.0623885,-0.12051656,0.22122154,0.21552911,-0.046240292,-0.08315356,0.6398156,-0.5423559,-0.54361016,-0.15173711
Druid of the Claw,0.779996,-0.7754631,1.1037049,-0.28654262,0.31502524,0.26884016,0.5502237,0.62921596,0.058120575,-0.115163155,-0.19624923,-0.29404718,0.81110406,0.2161041,0.6668298,0.11646907
Animal Companion,-0.13004124,-0.40038365,-0.45407894,-0.023495886,0.92505085,0.2502603,0.3530578,-0.74004793,-0.5792565,0.34005105,-0.1294,-0.68270284,1.5708845,0.0177013,-0.262089,0.85591555
Cold Storage,1.1200148,0.1382241,0.952138,0.8593899,0.8543878,0.32632008,0.9258098,-0.09578754,0.03017133,0.19000085,-0.39532325,-0.427413,-0.24382831,-0.018479401,0.5894113,0.92627424
Seafloor Gateway,-0.50698537,-0.14084703,-0.71102226,0.54961336,0.08488787,1.3678588,0.960798,-0.0390926,-0.4021959,1.2266593,-0.21238986,-1.1769519,0.49558926,0.4913028,0.2794527,-0.33691156
Habeas Corpses,0.83711433,-0.18994898,0.1713558,0.41314363,-0.07788621,-0.5582833,1.8220776,0.13961442,-1.2376064,-0.0382136,-0.10294487,-0.11849438,0.07184227,-1.1071028,0.8010159,0.7209088
Stormwind Champion,-0.0020650541,-0.8801003,-0.45800114,-0.31914797,0.55925727,1.5866263,0.8867937,-0.21453446,-0.14338978,-0.08505984,-0.8726469,0.17319965,0.11915343,0.4576033,0.08506163,0.3042604
Desecrated Graveyard,0.027480233,0.14619376,0.1518786,0.23742132,-0.48380736,-0.037557982,1.3693385,-0.3742227,-0.37711763,-0.060104165,-0.192742,-0.39515543,0.21130353,-0.79138386,0.38554168,0.83195436
Dire Frenzy,-0.058980264,-0.5522467,-0.5308341,0.23499873,1.1713594,0.04382368,0.1694426,-0.3708799,-0.30118474,0.052230414,0.18553951,-0.84695435,1.1912291,-0.21971115,-0.14165822,1.1147139
Knight of Anointment,-0.46295294,-1.100714,-0.11585128,-0.2627071,0.50117755,2.3229942,1.234908,-0.67150605,-0.22958723,-0.5610904,-1.0938417,0.4714396,0.63447887,0.027620988,-0.38959172,0.30664903
Priestess Valishj,0.1518025,-1.0545994,-0.32883316,0.57046634,0.56093895,-0.01349454,1.3627567,1.2920027,-0.6591066,-0.683845,-0.5636426,-0.704885,-0.42131835,0.26826516,-0.8795189,0.5122719
Runed Orb,0.29631263,-0.6597995,0.44149166,0.96281874,0.50885063,0.77891475,0.15599017,0.042850245,-0.45246497,0.60786325,-0.41886735,-1.0048978,-0.001636495,-0.7574024,-0.027398946,-0.77347296
Cariel Roame,-0.44964153,-1.020861,-0.28607014,-0.30195156,0.59658796,2.4168408,1.1951537,-0.42705297,-0.20091654,-0.5908959,-0.9547852,0.43995765,0.5953274,0.016048959,-0.19198179,0.3089731
Sesselie of the Fae Court,0.52459204,-0.67546266,0.94548297,-0.06141832,0.4839989,-0.056297142,0.54750276,0.364902,-0.37522742,-0.39554584,0.10309768,0.03056804,0.90516466,-0.24646074,0.6967841,0.16245733
Demolition Renovator,0.43519434,0.10616175,-0.0575338,0.1962368,0.77562773,0.09098151,0.6957387,0.06483651,0.082876034,-0.21090007,0.14494261,-0.54418045,0.7190284,-0.1487919,-0.5557631,0.36297286
Catacomb Guard,-0.14957687,-1.0355294,-0.40400773,-0.24393946,0.70590395,2.0680373,1.1559844,-0.5540914,-0.21342686,-0.14116926,-0.94893825,0.4861584,0.32340065,0.2691843,0.055188097,0.2730297
Imported Tarantula,0.19168624,-0.43475163,-0.7313729,0.26907694,1.0601808,-0.103365645,0.35740358,-0.2502703,-0.36836505,0.48903373,0.23269449,-0.8063783,1.3263273,-0.45852077,0.1362791,0.8958039
Spellcoiler,0.14413902,-0.4563468,0.4995077,0.9530247,0.5972844,0.679331,0.20954846,0.16791284,-0.31089693,0.49865738,-0.22417265,-1.0452796,-0.012597447,-0.83084756,0.04365844,-0.6701314
Kurtrus Ashfallen,0.9110629,-1.0775309,-0.59298605,-0.39896056,0.089803375,0.13396056,0.95806044,0.19366577,0.49287048,0.37748605,-0.70535594,-0.14030635,-0.08890156,-1.3364283,0.41058207,0.08935267
Maestra of the Masquerade,-1.0167377,-0.76246244,0.8488491,0.4860277,0.6385938,-0.22755,0.58000785,-0.6177603,-0.12884891,-0.33360356,-1.0728096,-0.39901987,0.2548111,-0.29979214,0.40440732,0.27033907
"""Xyrella the Devout""",-0.316409,-0.42814833,0.015859367,-0.01840211,0.5541573,-0.04342104,1.1301471,0.902931,-0.277814,-0.21562116,-0.4632743,-0.9545058,-0.10871059,0.09963712,-0.43311036,0.19230765
The Lobotomizer,-0.7026211,-0.56276536,0.45035085,0.71288526,0.97168994,0.016826648,0.53897005,-0.85842544,0.2476504,-0.7137619,-0.52682424,-0.3505758,0.35362267,-0.35048088,0.6215762,-0.018395687
Galloping Savior,-0.3635532,-0.7885139,-0.30876496,0.004798884,0.7821711,1.9275383,0.78156304,-0.15364015,-0.0046610963,0.096414946,-1.1068054,0.16794139,0.18195178,0.40241724,0.080837406,0.32701537
Prescience,1.2704268,0.050537497,0.85048527,0.8757448,0.78888047,0.2546233,1.104941,0.29445213,0.0055332864,0.28659534,-0.58634025,-0.31744865,-0.22929986,-0.12678133,0.86233926,1.2204336
Death Beetle,0.6142577,-0.68426555,0.882593,-0.34088528,0.526712,0.13726516,0.6276388,0.282165,-0.27804646,-0.23673047,0.040427968,-0.04130941,1.153045,-0.12831599,0.22428626,-0.1622366
Far Sight,1.2804853,0.06165541,0.8006196,0.8770929,0.7806853,0.25591296,1.1184689,0.24744484,-0.12215458,0.2945139,-0.68862563,-0.29085067,-0.16545118,0.13351752,0.7553102,1.3453107
Chaos Nova,1.1049962,-1.2223493,-0.9395176,-0.11401194,0.18256624,0.4903887,1.3509902,-0.1442436,1.0064772,0.97676694,-0.8401974,-0.19892712,0.057834398,-1.1759895,0.64418966,0.3156754
Arcane Bolt,0.71646273,-0.798424,0.64527315,0.8532818,0.6440642,0.7937622,0.1500043,-0.035645552,-0.67196065,0.9776607,-0.35672525,-1.3075097,-0.23172426,-0.66937554,-0.10756926,-0.7189216
Monstrous Parrot,0.34066018,-0.33539996,-0.4635314,0.09478576,0.65225786,0.19571616,0.29781765,-0.26726604,-0.3791611,0.04163805,-0.095422335,-0.60388196,0.79829633,-0.1357932,-0.20102878,0.4817028
Scourge Tamer,-0.11437051,-0.39979544,-0.5317479,0.12785636,1.053893,0.06632079,0.2231495,-0.16114417,-0.3271237,0.32449868,0.06335237,-0.8836001,1.5903019,-0.40027395,-0.39169806,0.8560415
Scourge Supplies,0.73571885,0.19702208,0.124604434,0.2837537,-0.039911374,-0.24693091,1.7163279,0.15456791,-1.348728,-0.056092817,-0.085136645,-0.23534063,0.08746538,-1.2997941,0.7353776,0.73523366
Furious Howl,0.719228,-0.6897505,-0.73215234,0.6784678,1.2353958,0.08236073,0.1414602,-0.7727266,-0.83637995,-0.38709575,-0.2929345,-1.2188784,0.7950552,-0.5972757,-0.7037135,0.5434251
Stormwatcher,-0.288704,-0.409894,0.029317118,0.47719282,0.56255126,-0.010250314,1.0127457,0.992474,-0.35684195,0.11938868,-0.6053344,-0.7736913,0.33568102,0.48035935,-0.37855107,-0.19274639
Canal Slogger,0.83604527,0.019162279,0.6339659,0.23603109,0.43854636,0.34036323,0.70928264,-0.15173694,-0.038840692,-0.023315594,-0.16311647,-0.079556935,0.0180508,-0.14294074,0.42051113,0.6436563
Serpent Wig,-0.3905774,-0.49075374,-0.16711994,-0.32123247,0.48735058,0.3998523,0.8409395,0.5763637,0.11747785,-0.5111986,-0.00057466567,-0.9687648,-0.083599925,-0.045837954,-0.025570937,0.3102417
Great Hall,-0.069182254,-0.47240433,-0.16075109,-0.036342222,0.27767164,1.8195752,1.1068807,-0.15665749,-0.38567463,0.5047317,-0.65500325,0.3212021,0.50003743,0.40928808,-0.35384813,-0.17064019
Hydralodon,-0.060583234,-0.56254804,-0.575923,-0.053501148,0.9504938,0.12340936,0.27703214,-0.4267687,-0.48666266,0.5354057,0.059175443,-0.77429324,1.4730418,-0.2845815,-0.213109,0.9510627
Halduron Brightwing,0.5960761,-0.852464,-0.74593925,0.6318973,1.4304479,0.2225573,0.03628673,-0.7356429,-0.5554348,-0.55658776,-0.13953479,-1.1465464,0.7504746,-0.6089126,-0.9335083,0.6551224
Priest of An'she,-0.2487439,-0.31042328,-0.3033431,-0.05568795,0.34309193,0.28210083,1.2041312,0.84614277,0.03808758,-0.10262259,-0.6258654,-0.7522063,0.049337354,0.48402604,-0.19967194,0.12032457
Selfless Sidekick,0.2524803,-0.083241604,0.2854144,0.23048821,0.20794927,0.2515192,0.71360654,0.009393394,-0.10581218,0.028513856,-0.11316732,-0.23346764,0.3583321,-0.39438117,-0.20501344,-0.06498907
Planted Evidence,0.37550038,-0.7403513,0.8086464,-0.5274287,0.29527348,0.23305511,0.5091356,0.17631072,-0.3188652,-0.24425304,0.049203746,-0.2304168,1.0652812,-0.27028468,0.18567196,-0.13784188
Horn of Wrathion,-0.026605515,-0.9114223,-0.15147871,0.48155022,0.5765197,-0.008469408,1.2629037,1.3248882,-0.610186,-0.8972589,-0.34318885,-0.48456222,-0.22478198,0.22002591,-0.64124155,0.41840973
Bog Beast,-0.39232978,-0.33790347,0.098999694,0.5192829,0.29563832,-0.024533631,1.0566175,0.5453932,0.053993765,-0.11035814,-0.17013957,-0.6907054,0.12895282,0.1582354,-0.16665651,0.14100663
Hot Streak,0.36428598,-0.9539568,0.3350628,1.0964491,0.5662282,0.899316,0.14983393,-0.09684997,-0.35325557,1.0022538,-0.40555975,-1.1731336,-0.02158055,-0.91561556,-0.06913535,-0.7655414
Ransack,-0.80767536,-0.8016273,0.63395995,0.5511391,0.8016516,-0.3727573,0.5230806,-0.4855105,-0.12448849,-0.45653063,-0.9317014,-0.4510705,0.23959276,-0.61838204,0.4048142,-0.05371462
Fleshshaper,0.0053948844,-0.6627781,0.06642009,-0.3809751,1.6255333,-0.24214289,1.3302617,-0.124922775,-0.9751914,0.62349284,0.11856609,0.84952545,-0.13232513,-0.11599965,0.46842456,-0.3747214
Bloodhoof Brave,0.30765802,-0.41288567,0.36813742,-0.2633711,1.5077363,-0.25083286,1.1508224,-0.02451573,-1.0112625,0.46589854,0.27295604,0.60488546,0.44529262,-0.060317963,0.266172,-0.46710488
Sacrificial Summoner,0.5946355,-0.07187446,0.13005464,0.2230467,-0.0734315,-0.23171912,1.3119189,0.04306272,-1.0271088,-0.076097414,-0.32137522,-0.24338685,-0.06744982,-0.8859257,0.65115905,0.7972958
SI:7 Skulker,0.08141039,0.024375154,0.38181484,-0.726939,0.68682057,0.18901156,0.23814161,0.35411492,-0.40822408,-0.10851014,0.35630575,-0.8187739,1.1918647,-0.81394655,0.6643937,0.30821702
Boon of the Ascended,-0.29416466,-0.44466785,0.17276342,-0.22266246,0.33563554,0.021034166,1.1081874,0.87251633,0.03669154,-0.30152887,-0.25294125,-0.5789438,0.025439978,-0.019724064,-0.04999049,0.06142605
Clownfish,0.5435273,0.44980806,1.2768346,0.12166239,1.0184118,0.98761535,1.6147547,-0.976571,0.10780599,0.027789623,0.22923465,-0.60272014,-0.69210935,0.11547955,0.6136647,0.8328754
Gnome Muncher,0.02549759,0.12930857,0.36534223,0.19889818,0.57920235,0.16023758,1.0415592,-0.100929014,0.26322916,0.06083513,0.090941384,-0.0801975,0.5448262,-0.57960224,-0.6171398,-0.067060925
Spice Bread Baker,-0.22755711,-0.03762941,0.07854435,0.8113868,-0.37952685,-0.20398101,1.2609032,0.32729113,-0.709304,0.49104643,-0.28825545,-0.4524743,0.07109068,-0.30820736,0.10646111,0.061721243
Tooth of Nefarian,-0.7848628,-0.8078924,0.7092671,0.61829776,0.6546694,-0.3308167,0.51963127,-0.43410465,0.005565576,-0.46642098,-0.89026487,-0.4709166,0.24722168,-0.68513787,0.34447595,0.017353965
Lady Darkvein,0.4812343,-0.08934833,0.33440098,-0.18811454,-0.45048222,0.3928582,1.3216733,-0.6010794,-1.6887612,-0.03809088,-0.4996893,-0.33298147,0.016089303,-1.4228002,-0.2692121,0.75830454
Scale of Onyxia,0.5858254,-0.6439953,0.9356064,-0.21991314,0.4186003,0.25085953,0.5223267,0.30851263,-0.3931433,-0.38018042,-0.031513706,-0.07726132,1.0826938,-0.20968924,0.09846104,-0.13050234
"""Mi'da Pure Light""",-0.37813872,-0.36049554,0.040649675,-0.13313748,0.6675266,-0.20820555,1.2072934,0.9081708,-0.2791474,-0.14196749,-0.5892384,-0.74189115,-0.018174557,0.11790079,-0.39764348,0.11263994
Sanguine Soldier,-0.16261609,-1.3643224,-0.6337777,0.17629586,0.56773275,2.6906736,1.4280871,-0.65031976,-0.16965869,-0.86835486,-1.161026,0.2817135,0.41527063,0.18077585,-0.0044887746,0.4225927
Arcsplitter,-0.050551564,-0.7825475,0.09814095,0.47671616,0.5921651,0.749077,0.2020633,0.094360635,-0.3169429,0.8028259,0.06483582,-1.0571966,0.0011020377,-1.1062964,0.07662755,-0.8424581
Blood Crusader,-0.30493718,-1.1652459,-0.63569236,-0.1133952,0.5553831,2.8355966,1.3786539,-0.7029082,-0.24702168,-0.784108,-1.3931283,0.18159084,0.63637215,-0.078504294,-0.12847686,0.4924113
Brittleskin Zombie,-0.48315933,-0.6310943,-0.210243,-0.2564598,0.45879257,0.5580575,1.4141111,0.74143416,0.21892342,-0.94081277,0.3826185,-1.3859462,-0.49789935,-0.37152725,-0.100678146,0.37632847
Zola the Gorgon,0.1201019,-0.13399102,0.49324742,0.2270062,0.3455411,0.0458323,0.74748045,0.0454705,-0.14949365,-0.2316318,-0.057469755,-0.051767908,0.814792,-0.4069559,-0.21951966,-0.16455804
Plague Scientist,-0.94679505,-0.41583863,0.26730984,0.8124986,1.2721645,-0.12926663,0.83410555,-0.87375736,0.057555776,-0.93547475,-0.18339604,0.25423822,0.44557175,-0.46916014,0.6200224,0.18062636
Execute,0.11635702,-0.429037,0.058543373,-0.44627208,1.5927685,0.0050631193,1.2964462,-0.29858017,-0.55871326,0.7793561,0.46998373,0.3093207,-0.09166952,0.16428646,0.63173425,-0.15234257
Wild Pyromancer,0.053593744,-0.70354605,0.29174912,-0.5763008,0.2214405,1.0260769,0.6157335,0.4166228,-0.60806817,-0.60057944,-0.039344765,0.17419282,0.8593199,0.19901647,-0.020952314,-0.12681419
Acidic Swamp Ooze,-0.1480269,-0.65499365,0.029125901,0.7166988,0.09229141,-0.08307391,0.41743475,0.33826306,-0.34901172,0.07951921,0.26948643,-0.3731827,0.7758067,-0.35150078,0.16220436,0.12908952
Seedcloud Buckler,-0.07540237,-0.6885225,-0.2813898,-0.17360304,0.39886123,1.4013163,0.7565206,-0.36617425,-0.1067263,-0.15536709,-0.71958715,0.18379179,0.16624627,0.20863271,0.10275502,0.38256374
