card_id,card_name,class, mana, attack, health, durability, armor, text
71945,Priestess Valishj,PRIEST, 1, 1, 1, , , <b>Battlecry:</b> Refresh an empty Mana Crystal for each spell you've cast this turn. <i>( )</i>
63056,Runed Orb,MAGE, 2, , , , , Deal 2 damage. <b>Discover</b> a spell.
62993,Cariel Roame,PALADIN, 4, 4, 3, , , <b>Rush</b>, <b>Divine Shield</b> Whenever this attacks, reduce the Cost of Holy spells in your hand by (1).
78383,Sesselie of the Fae Court,DRUID, 8, 8, 8, , , <b>Taunt</b> <b>Deathrattle</b>: Draw a minion. Reduce its Cost by (8).
79990,Demolition Renovator,NEUTRAL, 4, 4, 4, , , <b>Tradeable</b> <b>Battlecry:</b> Destroy an enemy location.
64371,Catacomb Guard,PALADIN, 3, 1, 4, , , <b>Lifesteal</b> <b>Battlecry:</b> Deal damage equal to this minion's Attack to an enemy minion.
65159,Imported Tarantula,HUNTER, 5, 4, 5, , , <b>Tradeable</b> <b>Deathrattle:</b> Summon two 1/1 Spiders with <b>Poisonous</b> and <b>Rush</b>.
72924,Spellcoiler,MAGE, 2, 2, 3, , , <b>Battlecry:</b> If you've cast a spell while holding this, <b>Discover</b> a spell.
63260,Kurtrus Ashfallen,DEMONHUNTER, 4, 3, 4, , , <b>Battlecry:</b> Attack the left and right-most enemy minions. <b>Outcast:</b> <b>Immune</b> this turn.
64673,Maestra of the Masquerade,ROGUE, 2, 3, 2, , , You start the game as a different class until you play a Rogue card.
67048,"Xyrella, the Devout",PRIEST, 8, , 30, , 5, <b>Battlecry:</b> Trigger the <b>Deathrattle</b> of every friendly minion that died this game.
70488,The Lobotomizer,ROGUE, 2, 2, , 2, , <b>Honorable Kill:</b> Get a copy of the top card of your opponent's deck.
63323,Galloping Savior,PALADIN, 1, , , , , <b>Secret:</b> After your opponent plays three cards in a turn, summon a 3/4 Steed with <b>Taunt</b>.
86150,Prescience,SHAMAN, 4, , , , , Draw 2 minions. For each that costs (5) or more, summon a 2/3 Spirit with <b>Taunt</b>.
86507,Death Beetle,DRUID, 6, 6, 6, , , <b>Taunt</b> <b>Manathirst ( ):</b> Gain +4/+4 and <b>Charge</b>.
76293,Far Sight,SHAMAN, 3, , , , , Draw a card. That card costs (3) less.
69505,Chaos Nova,DEMONHUNTER, 5, , , , , Deal 4 damage to all minions.
86274,Arcane Bolt,MAGE, 1, , , , , Deal 2 damage. <b>Manathirst (8):</b> Deal 3 damage instead.
65602,Monstrous Parrot,HUNTER, 4, 3, 4, , , <b>Battlecry:</b> Repeat the last friendly <b>Deathrattle</b> that triggered.
84274,Scourge Tamer,HUNTER, 2, 2, 2, , , <b>Battlecry:</b> Craft a custom Zombeast.
84261,Scourge Supplies,WARLOCK, 3, , , , , Draw 3 cards. Choose one to discard.
71231,Furious Howl,HUNTER, 2, , , , , Draw a card. Repeat until you have at least 3 cards.
69727,Stormwatcher,NEUTRAL, 7, 4, 8, , , <b>Windfury</b>
64321,Canal Slogger,SHAMAN, 4, 6, 4, , , <b>Rush</b>, <b>Lifesteal</b> <b>Overload:</b> (1)
72487,Serpent Wig,PRIEST, 1, , , , , Give a minion +1/+2. If you played a Naga while holding this, add a Serpent Wig to your hand.
82316,Great Hall,PALADIN, 2, , 3, , , Set a minion's Attack and Health to 3.
72935,Hydralodon,HUNTER, 7, 5, 5, , , <b>Colossal +2</b> <b>Battlecry:</b> Give your Hydralodon Heads <b>Rush</b>.
84272,Halduron Brightwing,HUNTER, 3, 3, 4, , , <b>Battlecry:</b> Give all Arcane spells in your hand and deck <b>Spell Damage +1</b>.
62877,Priest of An'she,PRIEST, 5, 5, 5, , , <b>Taunt</b>. <b>Battlecry:</b> If you've restored Health this turn, gain +3/+3.
63397,Selfless Sidekick,NEUTRAL, 7, 6, 6, , , <b>Battlecry:</b> Equip a random weapon from your deck.
77654,Planted Evidence,DRUID, 1, , , , , <b>Discover</b> a spell. It costs (2) less this turn.
71240,Horn of Wrathion,PRIEST, 3, , , , , Draw a minion. If it's a Dragon, summon two 2/1 Whelps with <b>Rush</b>.
79557,Bog Beast,NEUTRAL, 6, 3, 6, , , <b><b>Taunt</b></b> <b>Deathrattle:</b> Summon a 2/4 Muckmare with <b>Taunt</b>.
65140,Hot Streak,MAGE, 0, , , , , Your next Fire spell this turn costs (2) less.
86481,Ransack,ROGUE, 0, , , , , Deal 1 damage to a minion. If you've played a card from another class this turn, deal 4 instead.
86691,Fleshshaper,WARRIOR, 6, 3, 8, , , <b>Taunt</b>. <b>Battlecry:</b> If you have 5 or more Armor, summon a copy of this.
76303,Bloodhoof Brave,WARRIOR, 4, 2, 6, , , <b>Taunt</b> Has +3 Attack while damaged.
67756,Sacrificial Summoner,WARLOCK, 3, 3, 3, , , <b>Battlecry:</b> Destroy a friendly minion. Summon a minion from your deck that costs (1) more.
64166,SI:7 Skulker,NEUTRAL, 2, 2, 2, , , <b>Stealth</b> <b>Battlecry:</b> The next card you draw costs (1) less.
77300,Boon of the Ascended,PRIEST, 5, , , , , Give a minion +2 Health. Summon a Kyrian with its stats and <b>Taunt</b>.
75589,Clownfish,SHAMAN, 3, 3, 2, , , <b>Battlecry:</b> Your next two Murlocs cost (2) less.
80819,Gnome Muncher,DEATHKNIGHT, 6, 5, 6, , , <b>Taunt</b>, <b>Lifesteal</b> At the end of your turn, attack the lowest Health enemy.
64704,Spice Bread Baker,NEUTRAL, 4, 3, 2, , , <b>Battlecry:</b> Restore Health to your hero equal to your hand size.
71289,Tooth of Nefarian,ROGUE, 2, , , , , Deal 3 damage. <b>Honorable Kill:</b> <b>Discover</b> a spell from another class.
79111,Lady Darkvein,WARLOCK, 5, 3, 6, , , <b>Battlecry:</b> Summon two 2/1 Shades. Each gains a <b>Deathrattle</b> to cast your last Shadow spell.
71247,Scale of Onyxia,DRUID, 7, , , , , Fill your board with 2/1 Whelps with <b>Rush</b>.
71254,"Mi'da, Pure Light",PRIEST, 6, 4, 6, , , <b>Divine Shield</b>, <b>Lifesteal</b> <b>Deathrattle:</b> Shuffle a Fragment into your deck that resummons Mi'da when drawn.
84737,Sanguine Soldier,PALADIN, 1, 2, 1, , , <b>Divine Shield</b> <b>Battlecry:</b> Deal 2 damage to your hero.
84421,Arcsplitter,MAGE, 3, 3, 2, , , <b>Deathrattle:</b> Add 2 Arcane Bolts to your hand.
84923,Blood Crusader,PALADIN, 6, 5, 5, , , <b>Battlecry:</b> Your next Paladin minion this turn costs Health instead of Mana.
80019,Brittleskin Zombie,NEUTRAL, 3, 4, 3, , , <b>Deathrattle:</b> If it's your opponent's turn, deal 3 damage to them.
76310,Zola the Gorgon,NEUTRAL, 3, 2, 2, , , <b>Battlecry:</b> Choose a friendly minion. Add a Golden copy of it to your hand.
69708,Plague Scientist,ROGUE, 3, 2, 3, , , <b>Combo:</b> Give a friendly minion <b>Poisonous</b>.
69535,Execute,WARRIOR, 1, , , , , Destroy a damaged enemy minion.
76321,Wild Pyromancer,NEUTRAL, 2, 3, 2, , , After you cast a spell, deal 1 damage to ALL minions.
69548,Acidic Swamp Ooze,NEUTRAL, 2, 3, 2, , , <b>Battlecry:</b> Destroy your opponent's weapon.
63099,Seedcloud Buckler,PALADIN, 3, 2, , 3, , <b>Deathrattle:</b> Give your minions <b>Divine Shield</b>.
62889,Silverleaf Poison,ROGUE, 1, , , , , Give your weapon "After your hero attacks, draw a card."
86544,Amber Watcher,PALADIN, 5, 4, 6, , , <b>Battlecry:</b> Restore 8 Health.
69526,Sprint,ROGUE, 5, , , , , Draw 4 cards.
84391,Flight of the Bronze,PALADIN, 1, , , , , <b>Discover</b> a Dragon. <b>Manathirst (7):</b> Summon a 5/5 Drake with <b>Taunt</b>.
65605,Wicked Shipment,WARLOCK, 1, , , , , <b>Tradeable</b> Summon 1/1 (Imp, Imps). <i>(Upgrades by 2 when <b>Traded</b>!)</i>
69622,Shadowstep,ROGUE, 0, , , , , Return a friendly minion to your hand. It costs (2) less.
80649,Rimefang Sword,DEATHKNIGHT, 3, 2, , 3, , After your hero attacks, reduce the Cost of a spell in your hand by (1).
67237,Spammy Arcanist,NEUTRAL, 5, 3, 4, , , <b>Battlecry:</b> Deal 1 damage to all other minions. If any die, repeat this.
70262,Templar Captain,PALADIN, 8, 8, 8, , , <b>Rush</b>. After this attacks a minion, summon a 5/5 Defender with <b>Taunt</b>.
69567,Power Infusion,PRIEST, 4, , , , , Give a minion +2/+6.
73471,Miracle Growth,DRUID, 8, , , , , Draw 3 cards. Summon a Plant with <b>Taunt</b> and stats equal to your hand size.
70249,Heart of the Wild,DRUID, 3, , , , , Give a minion +2/+2, then give your Beasts +1/+1.
63359,Savory Deviate Delight,ROGUE, 1, , , , , Transform a minion in both players' hands into a Pirate or <b>Stealth</b> minion.
79584,Insatiable Devourer,NEUTRAL, 9, 4, 4, , , <b>Battlecry:</b> Devour an enemy minion and gain its stats. <b>Infuse ( ):</b> And its neighbors.
69663,Defender of Argus,NEUTRAL, 4, 3, 3, , , <b>Battlecry:</b> Give adjacent minions +1/+1 and <b>Taunt</b>.
64898,Entitled Customer,WARLOCK, 6, 3, 2, , , <b>Battlecry:</b> Deal damage equal to your hand size to all other minions.
79608,Murder Accusation,ROGUE, 2, , , , , Choose a minion. Destroy it after another enemy minion dies.
80822,Marrow Manipulator,DEATHKNIGHT, 6, 5, 5, , , <b>Battlecry:</b> Spend up to 5 <b>Corpses</b>. Deal 2 damage to a random enemy for each.
76271,Kalecgos,MAGE, 9, 4, 12, , , Your first spell each turn costs (0). <b>Battlecry:</b> <b>Discover</b> a spell.
86546,"Ragnaros, Lightlord",PALADIN, 8, 8, 8, , , At the end of your turn, restore 8 Health to a damaged friendly character.
70204,Iceblood Tower,MAGE, 10, , , , , At the end of your turn, cast another spell from your deck. Lasts 3 turns.
69698,Shooting Star,MAGE, 1, , , , , Deal 1 damage to a minion and the minions next to it.
63164,Razorfen Beastmaster,DEMONHUNTER, 3, 3, 3, , , <b>Deathrattle:</b> Summon a <b>Deathrattle</b> minion that costs (4) or less from your hand.
76316,Acolyte of Pain,NEUTRAL, 3, 1, 3, , , Whenever this minion takes damage, draw a card.
76318,Beaming Sidekick,NEUTRAL, 1, 1, 2, , , <b>Battlecry:</b> Give a friendly minion +2 Health.
70026,Gift of the Naaru,PRIEST, 1, , , , , Restore 3 Health to all characters. If any are still damaged, draw a card.
73906,Amalgam of the Deep,NEUTRAL, 2, 2, 3, , , <b>Battlecry:</b> Choose a friendly minion. <b>Discover</b> a minion of the same minion type.
76295,Maelstrom Portal,SHAMAN, 2, , , , , Deal 1 damage to all enemy minions. Summon a random 1-Cost minion.
69650,Ironbeak Owl,NEUTRAL, 3, 2, 1, , , <b>Battlecry:</b> <b>Silence</b> a minion.
84358,Haunting Nightmare,PRIEST, 3, 4, 3, , , <b>Deathrattle:</b> Haunt a card in your hand. When you play it, summon a 4/3 Soldier.
86543,Candleshot,HUNTER, 1, 1, , 3, , Your hero is <b>Immune</b> while attacking.
69616,Shadow Word: Ruin,PRIEST, 4, , , , , Destroy all minions with 5 or more Attack.
77761,Widowbloom Seedsman,DRUID, 4, 3, 2, , , <b>Battlecry:</b> Draw a Nature spell. Gain an empty Mana Crystal.
71924,Voidgill,WARLOCK, 2, 3, 2, , , <b>Deathrattle:</b> Give all Murlocs in your hand +1/+1.
74884,Conch's Call,HUNTER, 3, , , , , Draw a Naga and a spell.
86367,Invincible,NEUTRAL, 8, 5, 5, , , <b>Reborn</b> <b>Battlecry and Deathrattle:</b> Give another random friendly Undead +5/+5 and <b>Taunt</b>.
70292,Wing Commander Mulverick,DRUID, 4, 2, 5, , , <b>Rush</b>. Your minions have "<b>Honorable Kill:</b> Summon a 2/2 Wyvern with <b>Rush</b>."
69533,Truesilver Champion,PALADIN, 4, 4, 2, , , <b>Battlecry:</b> If your deck has no Neutral cards, equip a 4/2 Truesilver Champion.
72340,Emergency Maneuvers,HUNTER, 2, , , , , <b>Secret:</b> When a friendly minion dies, summon a copy of it. It's <b>Dormant</b> for 1 turn.
69738,Tomb Pillager,ROGUE, 4, 5, 4, , , <b>Deathrattle:</b> Add a Coin to your hand.
78405,The Harvester of Envy,PRIEST, 3, 4, 3, , , After you play a card copied from the opponent, steal the original.
64337,Park Panther,DRUID, 4, 4, 4, , , <b>Rush</b>. Whenever this attacks, give your hero +3 Attack this turn.
73465,Green-Thumb Gardener,DRUID, 6, 5, 5, , , <b>Battlecry:</b> Refresh empty Mana Crystals equal to the Cost of the highest Cost spell in your hand.
63079,Invigorating Sermon,PALADIN, 4, , , , , Give +1/+1 to all minions in your hand, deck, and battlefield.
84003,Grand Magister Rommath,MAGE, 9, 5, 7, , , <b>Battlecry:</b> Recast each spell you've cast this game that didn't start in your deck.
78356,Hematurge,DEATHKNIGHT, 2, 2, 3, , , <b>Battlecry:</b> Spend a <b>Corpse</b> to <b>Discover</b> a Blood Rune card.
78354,Nerubian Swarmguard,DEATHKNIGHT, 4, 1, 3, , , <b>Taunt</b> <b>Battlecry:</b> Summon two copies of this minion.
85050,Wither,DRUID, 1, , , , , Choose a minion. Each friendly Undead steals 1 Attack and Health from it.
69611,Argent Protector,PALADIN, 2, 3, 2, , , <b>Battlecry:</b> Give a friendly minion <b>Divine Shield</b>.
67217,Frantic Hippogryph,NEUTRAL, 5, 3, 7, , , <b>Rush</b>. <b>Honorable Kill</b>: Gain <b>Windfury</b>.
69604,Freezing Trap,HUNTER, 2, , , , , <b>Secret:</b> When an enemy minion attacks, return it to its owner's hand. It costs (2) more.
77244,Crazed Wretch,WARRIOR, 2, 1, 4, , , Has +2 Attack and <b>Charge</b> while damaged.
81849,Darkfallen Neophyte,DEATHKNIGHT, 3, 2, 5, , , <b>Battlecry:</b> Spend 2 <b>Corpses</b> to give all minions in your hand +2 Attack.
69726,Sleepy Dragon,NEUTRAL, 9, 4, 12, , , <b>Taunt</b>
64709,Guild Trader,NEUTRAL, 4, 3, 4, , , <b>Tradeable</b> <b>Spell Damage +2</b>
63072,Arid Stormer,SHAMAN, 3, 2, 5, , , <b>Battlecry:</b> If you played an Elemental last turn, gain <b>Rush</b> and <b>Windfury</b>.
70015,Balinda Stonehearth,MAGE, 6, 5, 5, , , <b>Battlecry:</b> Draw 2 spells. Swap their Costs with this minion's stats.
63227,Guff Runetotem,DRUID, 3, 2, 4, , , After you cast a Nature spell, give another friendly minion +2/+2.
86536,Murozond the Infinite,PRIEST, 8, 8, 8, , , <b>Battlecry:</b> Play all cards your opponent played last turn.
81973,Glacial Advance,DEATHKNIGHT, 3, , , , , Deal 4 damage. Your next spell this turn costs (1) less.
69666,Coldlight Seer,NEUTRAL, 3, 2, 3, , , <b>Battlecry:</b> Give your other Murlocs +2 Health.
64665,Chaos Leech,DEMONHUNTER, 3, , , , , <b>Lifesteal</b>. Deal 3 damage to a minion. <b>Outcast:</b> Deal 5 instead.
64346,Kodo Mount,DRUID, 4, , , , , Give a minion +4/+2 and <b>Rush</b>. When it dies, summon a Kodo.
64728,Cornelius Roame,NEUTRAL, 6, 4, 5, , , At the start and end of each player's turn, draw a card.
70236,Icehoof Protector,NEUTRAL, 6, 2, 10, , , <b>Taunt</b> <b>Freeze</b> any character damaged by this minion.
76261,Inkveil Ambusher,ROGUE, 2, 1, 2, , , <b>Stealth</b> Has +3 Attack and <b>Immune</b> while attacking.
69602,Snake Trap,HUNTER, 2, , , , , <b>Secret:</b> When one of your minions is attacked, summon three 1/1 Snakes.
70235,Troll Centurion,NEUTRAL, 8, 8, 8, , , <b>Rush</b>. <b>Honorable Kill:</b> Deal 8 damage to the enemy hero.
67194,Frozen Buckler,WARRIOR, 2, , , , , Gain 10 Armor. At the start of your next turn, lose 5 Armor.
63002,Tame Beast (Rank 1),HUNTER, 2, , , , , Summon a 2/2 Beast with <b>Rush</b>. <i>(Upgrades when you have 5 Mana.)</i>
72651,Volcanomancy,MAGE, 2, , , , , Choose a minion. When it dies, deal 3 damage to all other minions.
86147,Unliving Champion,SHAMAN, 3, 3, 2, , , <b>Battlecry:</b> If a friendly Undead died after your last turn, summon two 3/2 Zombies.
84240,Deal with a Devil,DEMONHUNTER, 5, , , , , Summon two 3/3 Felfiends with <b>Lifesteal</b>. If your deck has no minions, summon another.
67769,Snowfall Guardian,SHAMAN, 6, 5, 5, , , <b>Battlecry:</b> <b>Freeze</b> all other minions.
62894,Yoink!,ROGUE, 1, , , , , <b>Discover</b> a Hero Power and set its Cost to (0). Swap back after 2 uses.
62548,Injured Marauder,NEUTRAL, 4, 5, 10, , , <b>Taunt</b> <b>Battlecry:</b> Deal 6 damage to this minion.
63272,Firemancer Flurgl,SHAMAN, 2, 2, 3, , , After you play a Murloc, deal 1 damage to all enemies.
69603,Explosive Trap,HUNTER, 2, , , , , <b>Secret:</b> When your hero is attacked, deal 2 damage to all enemies.
84765,Bloodied Knight,NEUTRAL, 3, 4, 5, , , At the end of your turn, deal 2 damage to your hero.
84692,Flesh Behemoth,NEUTRAL, 9, 4, 8, , , <b>Taunt</b> <b>Deathrattle:</b> Draw another Undead and summon a copy of it.
64391,Shard of the Naaru,PRIEST, 1, , , , , <b>Tradeable</b> <b>Silence</b> all enemy minions.
72932,Seascout Operator,NEUTRAL, 3, 2, 4, , , <b>Battlecry:</b> If you control a Mech, summon two 2/1 Mechafish.
78349,Dark Transformation,DEATHKNIGHT, 2, , , , , Transform an Undead into a 4/5 Undead Monstrosity with <b>Rush</b>.
84266,Eversong Portal,HUNTER, 4, , , , , Summon 1 4/4 (Lynx, Lynxes) with <b>Rush</b> <i>(improved by <b>Spell Damage</b>)</i>.
84242,Brutal Annihilan,DEMONHUNTER, 9, 9, 9, , , <b>Taunt</b>, <b>Rush</b> After this minion survives damage, deal that amount to the enemy hero.
63102,Party Up!,PALADIN, 7, , , , , Summon five 2/2 Adventurers with random bonus effects.
80021,Repulsive Gargantuan,DEATHKNIGHT, 4, 3, 6, , , Enemy characters can't be healed.
72418,Piranha Poacher,SHAMAN, 3, 2, 5, , , At the end of your turn, add a 1/1 Piranha Swarmer to your hand.
86417,Embers of Strength,WARRIOR, 2, , , , , Summon two 1/2 Guards with <b>Taunt</b>. <b>Manathirst (6):</b> Give them +1/+2.
69667,Cairne Bloodhoof,NEUTRAL, 6, 5, 5, , , <b>Deathrattle:</b> Summon a 5/5 Baine Bloodhoof.
80118,Switcheroo,PRIEST, 3, , , , , Draw 2 minions. Swap their Health.
80830,Boneguard Commander,DEATHKNIGHT, 8, 8, 8, , , <b>Taunt</b> <b>Battlecry:</b> Raise up to 6 <b>Corpses</b> as 1/3 Risen Footmen with <b>Taunt</b>.
68262,Razorglaive Sentinel,DEMONHUNTER, 4, 5, 4, , , After you play the left or right-most card in your hand, draw a card.
78324,Death Strike,DEATHKNIGHT, 4, , , , , <b>Lifesteal</b> Deal 6 damage to a minion.
84856,Plaguespreader,NEUTRAL, 4, 4, 4, , , <b>Deathrattle:</b> Transform a random minion in your opponent's hand into a Plaguespreader.
69683,Crimson Sigil Runner,DEMONHUNTER, 1, 1, 1, , , <b>Outcast:</b> Draw a card.
69675,Murloc Tidecaller,NEUTRAL, 1, 1, 2, , , Whenever you summon a Murloc, gain +1 Attack.
64721,Cheesemonger,NEUTRAL, 4, 3, 6, , , Whenever your opponent casts a spell, add a random spell with the same Cost to your hand.
64627,Rats of Extraordinary Size,HUNTER, 6, , , , , Summon seven 1/1 Rats. Any that can't fit on the battlefield go to your hand with +4/+4.
64375,Final Showdown,DEMONHUNTER, 1, , , , , <b>Questline:</b> Draw 4 cards in one turn. <b>Reward:</b> Reduce the Cost of the cards drawn by (1).
78142,Anima Extractor,WARRIOR, 2, 1, 4, , , Whenever a friendly minion takes damage, give a random minion in your hand +1/+1.
